,,,Pos.,Pos.,Pos.
ss,,,1,2,3
Crew,Gr/Cl,Race,,,
Anastassopoulo,C4 F2 E,Molon Labe,27,-,-
Athanassopoulo,C6 F2,Molon Labe,38,37,27
Basdelis Andre,C3 F2 E,Molon Labe,25,29,-
Basdelis Giorg,C6 F2,Molon Labe,29,26,-
Bris Panagioti,C3 F2 E,Molon Labe,37,34,26
Christodoulou ,4,Molon Labe,13,12,12
Christodoulou ,RGT,Molon Labe,11,11,10
Christou Dimit,2,Molon Labe,49,50,37
Davaris Nikos ,C2,Molon Labe,18,17,19
Delaportas Gio,4,Molon Labe,16,13,17
Dodos Giorgos ,4,Molon Labe,45,40,30
Edipidis Ioann,C5 F2 E,Molon Labe,17,14,-
Flandy  - Gira,C2,Molon Labe,9,9,7
Giannakopoulos,C5 F2,Molon Labe,21,41,-
Haidas Panagio,C6 F2,Molon Labe,46,47,36
Ismailos Panos,C2,Molon Labe,6,4,4
Kalaitzian Ioa,4,Molon Labe,51,31,-
Kalamaras Teo ,3,Molon Labe,48,44,31
Kansos Patrokl,4,Molon Labe,54,52,43
Kassidopoulos ,4,Molon Labe,39,38,29
Kofinas Konsta,4,Molon Labe,35,36,33
Kokkinos Steli,C6 F2,Molon Labe,26,24,23
Manetas Giorgo,C4 F2 E,Molon Labe,20,20,25
Mantas Panagio,C6 F2,Molon Labe,41,42,35
Mastrogiannis ,4,Molon Labe,55,-,-
Melas D.  - Va,2,Molon Labe,24,23,15
Michalopoulos ,C6 F2,Molon Labe,34,35,28
Moustakas Spir,C2,Molon Labe,52,33,-
Nomikos Ioanni,4,Molon Labe,47,45,38
Pafitis George,C2,Molon Labe,12,16,13
Palaiokostas D,C4 F2,Molon Labe,19,22,14
Palapanoglou I,2,Molon Labe,50,43,40
Papadimitriou ,C1,Molon Labe,1,1,1
Papadopoulos A,C3 F2,Molon Labe,31,25,20
Papandreou A. ,3,Molon Labe,42,49,41
Paradissis Gio,2,Molon Labe,15,21,16
Paradissis P. ,C2,Molon Labe,2,3,2
Paravalos I.  ,4,Molon Labe,32,30,18
Pateas A.  - P,C6 F2,Molon Labe,30,28,-
Pavli Marialen,C4 F2 E,Molon Labe,43,39,34
Rigas Giorgos ,C3 F2 E,Molon Labe,23,18,24
Sotiropoulos N,C6 F2 E,Molon Labe,28,19,21
Stafilopatis M,3,Molon Labe,8,10,11
Stavropoulos D,C2,Molon Labe,10,7,6
Tsalamatas Ioa,3,Molon Labe,22,27,22
Tsetsonis Elia,C2,Molon Labe,5,5,9
Tsoulos Argiri,C2,Molon Labe,7,8,8
Tzemos K.  - A,C2,Molon Labe,4,6,5
Tzilavis Savva,2,Molon Labe,53,51,39
Vassilopoulos ,2,Molon Labe,36,-,-
Vigopoulos Nik,C2,Molon Labe,3,2,3
Vorrias Ioanni,T1,Molon Labe,14,15,-
Votzakis Pavlo,2,Molon Labe,40,46,42
Yamalakis Stel,3,Molon Labe,33,32,32
Zouras E.  - P,C4 F2 E,Molon Labe,44,48,44
