,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16
Crew,Gr/Cl,Race,,,,,,,,,,,,,,,
Aihara Taisuke,NAT,Japan,27,10,32,29,28,28,24,29,22,27,27,26,26,26,26
Arai Hiroki  -,RC4,Japan,19,10,15,12,13,13,12,14,14,15,13,13,13,14,13
Arai Toshi  - ,NAT,Japan,21,10,12,15,14,16,17,12,30,30,30,30,30,30,30
Bailey Jason  ,RC3,Japan,26,10,21,24,21,19,18,21,32,22,28,21,18,20,18
Boland Eamonn ,RC2,Japan,22,10,13,18,16,18,14,18,17,18,18,17,15,15,17
Chwist Daniel ,RC2,Japan,15,10,17,19,18,15,22,15,15,13,14,16,16,16,12
Díaz-Aboitiz M,RC2,Japan,18,10,25,25,23,23,28,23,20,21,19,20,20,17,22
Evans Elfyn  -,RC1,Japan,9,1,1,4,2,2,6,3,7,1,1,7,7,3,5
Fourmaux Adrie,RC1,Japan,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fukunaga Osamu,RC2,Japan,17,10,8,16,15,14,13,17,13,14,14,15,14,12,15
Gryazin Nikola,RC2,Japan,10,7,7,7,9,9,8,10,10,8,8,8,10,10,9
Hagiwara Yasun,NAT,Japan,33,10,31,30,30,30,29,28,23,25,22,24,21,24,24
Hotta Makoto  ,NAT,Japan,30,10,24,23,20,21,21,19,30,30,30,30,30,30,30
Imai Satoshi  ,RC2,Japan,20,10,19,20,19,19,19,32,29,29,29,29,28,28,28
Iriemon  - Kag,NAT,Japan,25,10,29,32,32,32,31,26,25,23,25,27,22,23,20
Kajetanowicz K,RC2,Japan,12,10,16,13,11,11,9,13,11,11,11,12,11,11,10
Katsuta Norihi,NAT,Japan,16,10,5,14,12,12,-,-,-,-,-,-,-,-,-
Katsuta Takamo,RC1,Japan,5,33,18,1,1,1,2,1,1,6,7,1,1,1,4
Kovalainen Hei,RC2,Japan,13,9,11,11,10,10,9,11,12,12,12,11,28,28,28
Kunisawa Mitsu,RC5,Japan,27,10,28,26,25,26,20,24,21,20,23,22,24,21,21
Lappi Esapekka,RC1,Japan,2,10,10,9,5,5,1,6,6,7,6,5,4,4,1
Mikkelsen Andr,RC2,Japan,11,4,3,10,8,7,7,9,8,9,10,9,9,8,8
Munster Grégoi,RC2,Japan,14,7,4,8,7,6,11,8,9,10,8,10,8,9,11
Murata Kosuke ,NAT,Japan,23,10,23,21,22,22,16,20,18,17,17,18,17,19,16
Nakayama Toru ,NAT,Japan,32,10,26,27,26,25,25,27,24,26,24,25,25,25,27
Neuville Thier,RC1,Japan,1,3,2,2,29,29,27,5,2,3,5,4,2,7,3
Ogier Sébastie,RC1,Japan,8,2,6,3,3,3,2,1,4,4,3,2,6,6,6
Rovanperä Kall,RC1,Japan,6,5,9,5,4,4,5,7,5,5,4,6,5,2,7
Sasaki Yasuyuk,NAT,Japan,31,10,20,30,30,30,29,25,26,24,21,23,23,22,23
Shimizu Hiroya,NAT,Japan,29,10,33,32,32,32,31,31,28,28,26,28,27,27,25
Shinkai Tomoyu,NAT,Japan,35,10,14,17,17,17,14,16,16,16,16,13,12,13,14
Sordo Dani  - ,RC1,Japan,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Takata Koji  -,NAT,Japan,34,10,30,28,27,27,26,30,27,30,30,30,30,30,30
Tänak Ott  - J,RC1,Japan,3,6,22,6,6,8,4,4,3,2,2,3,3,5,2
Yamamoto Yuta ,NAT,Japan,24,10,27,22,24,24,23,22,19,19,20,19,19,18,19
