,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16
Crew,Gr/Cl,Race,,,,,,,,,,,,,,,
Aihara Taisuke,NAT,Japan,2:24.9,21:39.8 [N],21:04.3,28:27.9,20:38.5,24:20.2,2:35.4,21:19.5,15:02.5,3:15.9,3:10.4,21:21.2,15:06.2,5:15.8,2:27.7
Arai Hiroki  -,RC4,Japan,2:04.6,21:39.8 [N],15:57.0,21:03.8,14:08.2,16:22.9,2:11.0,17:16.2,12:40.4,2:40.6,2:37.2,16:13.4,12:35.1,3:53.6,2:02.3
Arai Toshi  - ,NAT,Japan,2:04.8,21:39.8 [N],15:26.6,21:27.0,14:40.5,16:50.7,2:17.6,16:57.9,22:45.7 [N],12:43.0 [N],12:40.9 [N],26:13.4,22:32.7,13:52.5,12:03.2
Bailey Jason  ,RC3,Japan,2:21.0,21:39.8 [N],16:53.4,24:13.5,15:52.7,17:51.1,2:19.6,18:36.4,57:26.9,3:02.6,3:48.6,18:58.6,13:32.8,4:19.0,2:08.5
Boland Eamonn ,RC2,Japan,2:05.4,21:39.8 [N],15:45.2,22:29.6,14:45.0,17:14.8,2:16.4 [N],17:49.4,12:50.2,2:47.6,2:45.3,16:45.0,12:44.4,3:56.5,2:06.3
Chwist Daniel ,RC2,Japan,2:00.9,21:39.8 [N],16:09.8,22:42.4,14:47.9,16:47.1,2:26.3,17:25.3,12:42.6,2:39.6,2:39.3,16:38.2,12:45.9,4:01.9,2:00.4
Díaz-Aboitiz M,RC2,Japan,2:04.2,21:39.8 [N],17:36.1,24:42.5,16:07.9,18:18.7,12:05.9 [N],19:06.0,13:53.5,2:56.2,2:46.3,18:21.7,14:04.9,4:14.0,2:16.4
Evans Elfyn  -,RC1,Japan,1:52.5,20:17.8,14:20.0,19:26.9,12:48.8,14:34.7,2:02.0,15:26.3,11:37.8,2:20.2,2:18.7,14:47.0,11:17.1,3:21.1,1:49.9
Fourmaux Adrie,RC1,Japan,1:52.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fukunaga Osamu,RC2,Japan,2:03.1,21:39.8 [N],15:24.1,21:52.0,14:41.0,16:41.8,2:15.2,17:26.9,12:35.0,2:39.7,2:39.3,16:16.2,12:43.4,3:52.1,2:05.2
Gryazin Nikola,RC2,Japan,1:52.9,20:52.4 [N],15:07.1,19:58.4,13:32.1,15:23.4,2:06.0,16:03.5,11:52.9,2:25.5,2:24.3,15:10.0,11:55.7,3:38.7,1:52.5
Hagiwara Yasun,NAT,Japan,2:38.1,21:39.8 [N],20:10.0,31:12.4 [N],24:06.4 [N],26:16.9 [N],12:16.4 [N],21:16.1,15:04.7,3:06.6,3:02.0,20:25.1,14:27.5,4:53.0,2:19.2
Hotta Makoto  ,NAT,Japan,2:28.0,21:39.8 [N],17:18.5,24:11.6,15:42.3,17:53.9,2:25.8,18:05.9,22:45.7 [N],12:43.0 [N],12:40.9 [N],26:13.4,22:32.7,13:52.5,12:03.2
Imai Satoshi  ,RC2,Japan,2:04.7,21:39.8 [N],16:15.9,23:24.7,15:29.1,17:51.1,2:19.8,25:59.2 [N],21:45.4 [N],12:25.5 [N],12:24.3 [N],25:10.0 [N],21:40.2 [N],13:35.0 [N],11:52.1 [N]
Iriemon  - Kag,NAT,Japan,2:19.4,21:39.8 [N],19:06.1,38:27.9 [N],30:38.5 [N],34:20.2 [N],12:35.4 [N],21:04.0,15:24.1,3:03.5,3:04.0,21:24.6,14:34.2,4:52.1,2:12.5
Kajetanowicz K,RC2,Japan,1:55.1,21:39.8 [N],16:01.4,21:11.9,14:02.8,16:13.5,2:07.3,17:02.1,12:21.8,2:27.2,2:25.0,15:50.3,12:20.5,3:39.9,1:53.8
Katsuta Norihi,NAT,Japan,2:02.3,21:39.8 [N],14:54.7,21:12.4,14:06.4,16:16.9,-,-,-,-,-,-,-,-,-
Katsuta Takamo,RC1,Japan,1:50.7,22:48.6,16:10.1,19:08.1,12:48.5,14:33.6,2:01.0,15:23.2 [N],11:14.8,2:22.4,2:21.4,14:33.5,10:35.8,3:19.7,1:49.6
Kovalainen Hei,RC2,Japan,1:56.3,21:35.6 [N],15:26.5,20:41.6,13:46.3,15:45.1,2:07.3,16:47.8,12:33.9,2:32.4,2:30.3,15:35.3,21:40.2 [N],13:35.0 [N],11:52.1 [N]
Kunisawa Mitsu,RC5,Japan,2:24.9,21:39.8 [N],18:50.7,26:42.8,17:35.8,20:49.8,2:24.6,20:33.1,14:50.5,2:53.7,3:03.5,19:47.3,14:41.9,4:28.1,2:13.0
Lappi Esapekka,RC1,Japan,1:48.3,21:39.8,15:25.2,20:10.6,13:08.6,14:54.5,2:00.0,15:33.0 [N],11:28.7,2:22.9,2:20.9,14:43.3,10:46.1,3:21.2,1:47.0
Mikkelsen Andr,RC2,Japan,1:54.2,20:44.6,14:36.2,20:14.2,13:30.9,15:16.9,2:05.9,16:01.3,11:45.4,2:25.6,2:24.7,15:16.5,11:48.6,3:35.0,1:52.1
Munster Grégoi,RC2,Japan,1:57.4,20:52.4 [N],14:54.5,19:58.7,13:22.7,15:14.5,2:07.5,15:59.2,11:45.9,2:26.2,2:24.3,15:25.7,11:40.2,3:36.3,1:54.9
Murata Kosuke ,NAT,Japan,2:13.9,21:39.8 [N],17:09.1,23:37.9,16:06.7,18:03.5,2:16.8,18:32.0,13:18.3,2:47.4,2:43.3,17:40.6,13:09.1,4:15.3,2:06.2
Nakayama Toru ,NAT,Japan,2:34.8,21:39.8 [N],18:20.7,26:54.6,17:42.7,20:08.0,2:44.1,21:07.0,15:07.5,3:08.1,3:03.6,20:29.3,14:50.4,4:53.6,2:30.2
Neuville Thier,RC1,Japan,1:47.6,20:38.6,14:30.1,19:11.4,22:48.5 [N],24:33.6 [N],12:00.0 [N],15:28.0 [N],11:15.9,2:20.6,2:20.5,14:38.3,10:36.6,3:25.3,1:49.1
Ogier Sébastie,RC1,Japan,1:52.3,20:21.8,14:58.8,19:24.3,12:53.2,14:41.2,2:01.0,15:23.2,11:24.5,2:21.0,2:19.9,14:36.3,11:05.7,3:22.0,1:50.6
Rovanperä Kall,RC1,Japan,1:51.6,20:50.1,15:25.0,19:32.3,13:05.3,14:43.8,2:01.2,15:37.6,11:27.3,2:21.9,2:20.3,14:44.2,10:49.1,3:20.1,1:51.6
Sasaki Yasuyuk,NAT,Japan,2:33.7,21:39.8 [N],16:38.2,31:12.4 [N],24:06.4 [N],26:16.9 [N],12:16.4 [N],20:50.4,15:30.1,3:05.4,3:00.5,20:17.3,14:39.1,4:36.4,2:18.8
Shimizu Hiroya,NAT,Japan,2:25.1,21:39.8 [N],29:06.1,38:27.9 [N],30:38.5 [N],34:20.2 [N],12:35.4 [N],24:13.0,16:56.0,3:17.0,3:05.1,22:12.0,16:02.3,5:25.0,2:21.1
Shinkai Tomoyu,NAT,Japan,12:02.3 [N],21:39.8 [N],15:50.8,21:56.7,14:47.8,16:51.3,2:16.4 [N],17:26.1,12:45.7,2:43.0,2:40.9,16:13.4,12:32.7,3:52.5,2:03.2
Sordo Dani  - ,RC1,Japan,1:49.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Takata Koji  -,NAT,Japan,2:43.6,21:39.8 [N],19:55.6,28:12.8,18:55.6,21:22.6,2:45.8,22:15.3,16:03.1,12:43.0 [N],12:40.9 [N],26:13.4,22:32.7,13:52.5,12:03.2
Tänak Ott  - J,RC1,Japan,1:49.0,20:51.2,17:04.2,19:40.3,13:21.0,15:18.7,2:01.1,15:27.4 [N],11:16.9,2:20.4,2:19.6,14:37.7,10:38.5,3:21.6,1:48.5
