,,,Pos.,Pos.,Pos.
ss,,,1,2,3
Crew,Gr/Cl,Race,,,
Anastassopoulo,C4/,Molon-Lave,27,-,-
Athanassopoulo,C6 ,Molon-Lave,38,37,27
Basdelis Andre,C3 ,Molon-Lave,25,29,-
Basdelis Giorg,C6 ,Molon-Lave,29,26,-
Bris Panagioti,C3 ,Molon-Lave,37,34,26
Christodoulou ,4 2,Molon-Lave,13,12,12
Christodoulou ,RGT,Molon-Lave,11,11,10
Christou Dimit,2 1,Molon-Lave,49,50,37
Davaris Nikos ,C2,Molon-Lave,18,17,19
Delaportas Gio,4 2,Molon-Lave,16,13,17
Dodos Giorgos ,4 1,Molon-Lave,45,40,30
Edipidis Ioann,C4/,Molon-Lave,17,14,-
Flandy  - Gira,C2,Molon-Lave,9,9,7
Giannakopoulos,C4/,Molon-Lave,21,41,-
Haidas Panagio,C6 ,Molon-Lave,46,47,36
Ismailos Panos,C2,Molon-Lave,6,4,4
Kalaitzian Ioa,4 2,Molon-Lave,51,31,-
Kalamaras Teo ,3 -,Molon-Lave,48,44,31
Kansos Patrokl,4 2,Molon-Lave,54,52,43
Kassidopoulos ,4 1,Molon-Lave,39,38,29
Kofinas Konsta,4 1,Molon-Lave,35,36,33
Kokkinos Steli,C6 ,Molon-Lave,26,24,23
Manetas Giorgo,C4/,Molon-Lave,20,20,25
Mantas Panagio,C6 ,Molon-Lave,41,42,35
Mastrogiannis ,4 -,Molon-Lave,55,-,-
Melas D.  - Va,2 2,Molon-Lave,24,23,15
Michalopoulos ,C6 ,Molon-Lave,34,35,28
Moustakas Spir,C2,Molon-Lave,52,33,-
Nomikos Ioanni,4 -,Molon-Lave,47,45,38
Pafitis George,C2,Molon-Lave,12,16,13
Palapanoglou I,2 1,Molon-Lave,50,43,40
Paleokostas Di,C4/,Molon-Lave,19,22,14
Papadimitriou ,C1,Molon-Lave,1,1,1
Papadopoulos A,C3 ,Molon-Lave,31,25,20
Papandreou A. ,3 -,Molon-Lave,42,49,41
Paradissis Gio,2 2,Molon-Lave,15,21,16
Paradissis P. ,C2,Molon-Lave,2,3,2
Paravalos I.  ,4 1,Molon-Lave,32,30,18
Pateas A.  - P,C6 ,Molon-Lave,30,28,-
Pavli Marialen,C4/,Molon-Lave,43,39,34
Rigas Giorgos ,C3 ,Molon-Lave,23,18,24
Sotiropoulos N,C6 ,Molon-Lave,28,19,21
Stafilopatis M,3 2,Molon-Lave,8,10,11
Stavropoulos D,C2,Molon-Lave,10,7,6
Tsalamatas Ioa,3 2,Molon-Lave,22,27,22
Tsetsonis Elia,C2,Molon-Lave,5,5,9
Tsoulos Argiri,C2,Molon-Lave,7,8,8
Tzemos K.  - A,C2,Molon-Lave,4,6,5
Tzilavis Savva,2 2,Molon-Lave,53,51,39
Vassilopoulos ,2 2,Molon-Lave,36,-,-
Vigopoulos Nik,C2,Molon-Lave,3,2,3
Vorrias Ioanni,T1,Molon-Lave,14,15,-
Votzakis Pavlo,2 2,Molon-Lave,40,46,42
Yamalakis Stel,3 2,Molon-Lave,33,32,32
Zouras E.  - P,C4/,Molon-Lave,44,48,44
