,,,Pos.,Pos.,Pos.
ss,,,1,2,3
Crew,Gr/Cl,Race,,,
Agathokleous G,C3 F2,Graikas,14,13,12
Anastassopoulo,C4 F2,Graikas,12,11,8
Andrikopoulos ,C5 F2,Graikas,22,25,21
Antoniou K.  -,C3 F2,Graikas,10,15,7
Davaris Nikos ,C2,Graikas,9,9,10
Dimopoulos Ant,C4 F2,Graikas,6,-,-
Englezos T.  -,C6 F2,Graikas,20,22,-
Gazetas D.  - ,C6 F2,Graikas,11,16,13
Karagounis Eli,C3 F2,Graikas,17,18,-
Karouzos Giorg,C4 F2,Graikas,23,26,22
Kastis Christo,C5 F2,Graikas,8,8,9
Katevas Dionis,C6 F2,Graikas,18,21,18
Kokkinos Steli,C6 F2,Graikas,25,20,17
Lainopoulos S.,C2,Graikas,5,2,1
Lathouris Pana,C4 F2,Graikas,24,27,23
Likomitros D. ,C3 F2,Graikas,19,24,-
Manetas Giorgo,C4 F2,Graikas,13,12,14
Mantas Panagio,C6 F2,Graikas,21,23,20
Panoutsos T.  ,C5 F2,Graikas,27,7,24
Papadimitriou ,C1,Graikas,1,1,2
Papadopoulos A,C2,Graikas,26,3,3
Pateas A.  - P,C6 F2,Graikas,16,19,15
Sotiropoulos N,C6 F2,Graikas,15,14,11
Stavropoulos D,C6 F2,Graikas,7,10,6
Tsetsonis Elia,C2,Graikas,2,5,4
Tsoulos Argiri,C2,Graikas,4,4,5
Vorrias Ioanni,T1,Graikas,28,17,16
Zygogiannis K.,C2,Graikas,3,6,19
