,,,Pos.,Pos.,Pos.
ss,,,1,2,3
Crew,Gr/Cl,Race,,,
Agathokleous G,C3 F2,Korinthou,13,10,7
Anastassopoulo,C4 F2,Korinthou,20,15,11
Antoniou K.  -,C3 F2,Korinthou,12,12,16
Chatzigakis G.,C3 F2,Korinthou,15,17,12
Delaportas Gio,4,Korinthou,29,28,26
Dimopoulos Ant,C4 F2,Korinthou,5,4,-
Dimos Giorgos ,C3 F2,Korinthou,22,25,19
Englezos T.  -,C6 F2,Korinthou,25,27,23
Flandy  - Stef,C3,Korinthou,6,5,3
Gazetas Dionis,C6 F2,Korinthou,27,24,17
Gazetas H.  - ,C2,Korinthou,18,21,10
Giannakopoulos,C5 F2,Korinthou,14,13,8
Ismailos Panos,C2,Korinthou,1,1,1
Kalamaras Teo ,C3 F2,Korinthou,23,23,15
Kattis Dimítri,C6 F2,Korinthou,33,32,28
Kimonidis Hect,TZ1,Korinthou,28,29,-
Kokkinos Steli,C6 F2,Korinthou,19,20,20
Kotsopoulos An,C3 F2,Korinthou,31,31,27
Lefkaditis Sav,C3 F2,Korinthou,3,2,-
Likomitros D. ,C3 F2,Korinthou,32,30,24
Manetas Giorgo,C4 F2,Korinthou,21,16,14
Mavraganis A. ,C4 F2,Korinthou,26,19,21
Mider  - Nasso,C2,Korinthou,2,-,-
Panoutsos T.  ,C5 F2,Korinthou,9,8,5
Paradissis P. ,C2,Korinthou,4,3,2
Pavli Marialen,C6 F2,Korinthou,34,33,-
Roustemis A.  ,4,Korinthou,17,14,29
Sias Haralambo,C2,Korinthou,30,26,22
Sotiropoulos N,C6 F2,Korinthou,24,22,25
Toussoulis K. ,C6 F2,Korinthou,16,18,13
Tsakalos Athan,C6 F2,Korinthou,11,11,9
Tsakalos Theod,C5 F2,Korinthou,10,7,4
Tsatsaris Aris,C2,Korinthou,8,9,6
Zygogiannis K.,C2,Korinthou,7,6,18
