,,,Pos.,Pos.,Pos.
ss,,,1,2,3
Crew,Gr/Cl,Race,,,
Anapoliotakis ,C1,Potamies,1,1,1
Damianakis Gia,C4 F2,Potamies,5,7,7
Frantzeskakis ,C3 F2,Potamies,6,5,4
Gobakis Lefter,C3 F2,Potamies,9,9,6
Ioannidis Gior,C5 F2,Potamies,12,11,9
Kafetzakis I. ,C5 F2,Potamies,8,8,14
Kapsalakis D. ,C3 F2,Potamies,16,16,13
Ktistakis Dimi,C3 F2,Potamies,2,2,3
Maragakis Andr,C6 F2,Potamies,13,14,11
Nikolidakis I.,C5 F2,Potamies,4,4,-
Partheniadis E,C6 F2,Potamies,14,15,10
Perakis A.  - ,C4 F2,Potamies,10,12,-
Peroulakis Geo,C2,Potamies,3,3,2
Polias Mihalis,C5 F2,Potamies,11,10,8
Poulakis Mihal,C6 F2,Potamies,15,13,12
Stivaktakis Ar,C6 F2,Potamies,17,17,15
Titakis Titos ,C3 F2,Potamies,7,6,5
